898,133,Aleg,17.058,-13.909,Aleg,LEG,Aleg,Mauritania
114,146,Carnarvon,-30.9496,22.1333,Carnarvon,CVQ,Carnarvon,Australia
4390,155,Carnarvon,-24.8998,113.6501,Carnarvon,CVQ,Carnarvon,Australia
116,146,Alexander Bay,-28.6083,16.5033,Alexander Bay,ALJ,Kortdoorn,South Africa
5228,198,Alenquer,-1.9396,-54.79,Alenquer,ALT,Alenquer,Brazil
3071,92,Aleppo,36.23,37.17,Aleppo,ALP,Nejrab,Syria
3072,168,Aleppo,36.23,37.17,Aleppo,ALP,Nejrab,Syria
124,146,Kimberley,-28.7468,24.77,Kimberley,YQE,Kimberley,Canada
124,146,Kimberley,-28.7468,24.77,Kimberley,KIM,Kimberley,South Africa
5336,177,Alert,82.4833,-62.25,Alert,YLT,Alert,Canada
125,146,Durban,-29.865,30.98,Durban,DUR,Durban International,South Africa
125,146,Durban,-29.865,30.98,Durban,VIR,Virginia,South Africa
126,146,Klerksdorp,-26.88,26.62,Klerksdorp,KXE,Klerksdorp,South Africa
10623,195,Alexander City,32.924,-85.9353,Alexander City,ALX,Thomas C Russell Fld,United States
136,146,Komatipoort,-25.4096,31.94,Komatipoort,KOF,Komatipoort,South Africa
1835,39,Alexandria,43.9016,25.2867,Alexandria,HBE,Borg El Arab,Egypt
1835,39,Alexandria,43.9016,25.2867,Alexandria,ALY,El Nohza,Egypt
1835,39,Alexandria,43.9016,25.2867,Alexandria,AEX,Alexandria Internation,United States
1835,39,Alexandria,43.9016,25.2867,Alexandria,ESF,Esler Field,United States
1835,39,Alexandria,43.9016,25.2867,Alexandria,AXN,Alexandria,United States
1835,39,Alexandria,43.9016,25.2867,Alexandria,AXL,Alexandria,Australia
6506,117,Alexandria,31.2,29.95,Alexandria,HBE,Borg El Arab,Egypt
6506,117,Alexandria,31.2,29.95,Alexandria,ALY,El Nohza,Egypt
6506,117,Alexandria,31.2,29.95,Alexandria,AEX,Alexandria Internation,United States
6506,117,Alexandria,31.2,29.95,Alexandria,ESF,Esler Field,United States
6506,117,Alexandria,31.2,29.95,Alexandria,AXN,Alexandria,United States
6506,117,Alexandria,31.2,29.95,Alexandria,AXL,Alexandria,Australia
6507,158,Alexandria,31.2,29.95,Alexandria,HBE,Borg El Arab,Egypt
6507,158,Alexandria,31.2,29.95,Alexandria,ALY,El Nohza,Egypt
6507,158,Alexandria,31.2,29.95,Alexandria,AEX,Alexandria Internation,United States
6507,158,Alexandria,31.2,29.95,Alexandria,ESF,Esler Field,United States
6507,158,Alexandria,31.2,29.95,Alexandria,AXN,Alexandria,United States
6507,158,Alexandria,31.2,29.95,Alexandria,AXL,Alexandria,Australia
9345,195,Alexandria,31.2923,-92.47,Alexandria,HBE,Borg El Arab,Egypt
9345,195,Alexandria,31.2923,-92.47,Alexandria,ALY,El Nohza,Egypt
9345,195,Alexandria,31.2923,-92.47,Alexandria,AEX,Alexandria Internation,United States
9345,195,Alexandria,31.2923,-92.47,Alexandria,ESF,Esler Field,United States
9345,195,Alexandria,31.2923,-92.47,Alexandria,AXN,Alexandria,United States
9345,195,Alexandria,31.2923,-92.47,Alexandria,AXL,Alexandria,Australia
8249,195,Alexandria,38.8184,-77.0861,Alexandria,HBE,Borg El Arab,Egypt
8249,195,Alexandria,38.8184,-77.0861,Alexandria,ALY,El Nohza,Egypt
8249,195,Alexandria,38.8184,-77.0861,Alexandria,AEX,Alexandria Internation,United States
8249,195,Alexandria,38.8184,-77.0861,Alexandria,ESF,Esler Field,United States
8249,195,Alexandria,38.8184,-77.0861,Alexandria,AXN,Alexandria,United States
8249,195,Alexandria,38.8184,-77.0861,Alexandria,AXL,Alexandria,Australia
12801,195,Alexandria,38.9622,-84.3861,Alexandria,HBE,Borg El Arab,Egypt
12801,195,Alexandria,38.9622,-84.3861,Alexandria,ALY,El Nohza,Egypt
12801,195,Alexandria,38.9622,-84.3861,Alexandria,AEX,Alexandria Internation,United States
12801,195,Alexandria,38.9622,-84.3861,Alexandria,ESF,Esler Field,United States
12801,195,Alexandria,38.9622,-84.3861,Alexandria,AXN,Alexandria,United States
12801,195,Alexandria,38.9622,-84.3861,Alexandria,AXL,Alexandria,Australia
12330,195,Alexandria,45.8748,-95.3784,Alexandria,HBE,Borg El Arab,Egypt
12330,195,Alexandria,45.8748,-95.3784,Alexandria,ALY,El Nohza,Egypt
12330,195,Alexandria,45.8748,-95.3784,Alexandria,AEX,Alexandria Internation,United States
12330,195,Alexandria,45.8748,-95.3784,Alexandria,ESF,Esler Field,United States
12330,195,Alexandria,45.8748,-95.3784,Alexandria,AXN,Alexandria,United States
12330,195,Alexandria,45.8748,-95.3784,Alexandria,AXL,Alexandria,Australia
11341,195,Alexandria,40.2583,-85.676,Alexandria,HBE,Borg El Arab,Egypt
11341,195,Alexandria,40.2583,-85.676,Alexandria,ALY,El Nohza,Egypt
11341,195,Alexandria,40.2583,-85.676,Alexandria,AEX,Alexandria Internation,United States
11341,195,Alexandria,40.2583,-85.676,Alexandria,ESF,Esler Field,United States
11341,195,Alexandria,40.2583,-85.676,Alexandria,AXN,Alexandria,United States
11341,195,Alexandria,40.2583,-85.676,Alexandria,AXL,Alexandria,Australia
137,146,Nelspruit,-25.4745,30.9703,Nelspruit,NLP,Nelspruit International,South Africa
137,146,Nelspruit,-25.4745,30.9703,Nelspruit,MQP,Kruger Mpumalanga,South Africa
139,146,Johannesburg,-26.17,28.03,Johannesburg,GCJ,International,South Africa
139,146,Johannesburg,-26.17,28.03,Johannesburg,HCS,Randburg Heliport,South Africa
139,146,Johannesburg,-26.17,28.03,Johannesburg,QRA,Randgermiston,South Africa
140,146,Kuruman,-27.4496,23.42,Kuruman,KMH,Kuruman,South Africa
153,146,East London,-32.97,27.87,East London,ELS,East London,South Africa
154,146,Mossel Bay,-34.17,22.13,Mossel Bay,MZY,Mossel Bay,South Africa
6547,45,Algeciras,36.1267,-5.4665,Algeciras,AEI,Algeciras,Spain
160,146,Cradock,-32.1995,25.61,Cradock,CDO,Cradock,South Africa
6319,102,Algiers,36.7631,3.0506,Algiers,ALG,Houari Boumediene,Algeria
11399,195,Algona,43.0743,-94.2302,Algona,AXG,Algona,United States
163,146,Ladysmith,-28.5495,29.78,Ladysmith,LAY,Ladysmith,South Africa
164,146,George,-33.95,22.45,George,GRJ,George,South Africa
6575,45,Alicante,38.3512,-0.4836,Alicante,ALC,Alicante,Spain
166,146,Mmabatho,-25.83,25.61,Mmabatho,MBD,International,South Africa
9006,195,Alice,27.7556,-98.0653,Alice,ALI,International,United States
169,146,Cape Town,-33.92,18.435,Cape Town,CPT,Cape Town International,South Africa
4388,155,Alice Springs,-23.701,133.88,Alice Springs,ASP,Alice Springs,Australia
4388,155,Alice Springs,-23.701,133.88,Alice Springs,XHW,Alice Springs Railway,Australia
172,153,Lusaka,-15.4166,28.2833,Lusaka,LUN,Lusaka,Zambia
173,153,Kaoma,-14.7796,24.8,Kaoma,KMZ,Kaoma,Zambia
